#min ev;max ev;ad_tax;ad_taxd
1901;2010;30.7;1952-08-16
1901;2010;30.1;2007-07-20
1901;2010;30.0;1952-08-15
1901;2010;29.8;2007-07-22
1901;2010;29.7;2007-07-21
1901;2010;29.7;1939-07-22
1901;2010;29.5;2007-08-24
1901;2010;29.4;2007-07-19
1901;2010;29.3;1946-08-19
1901;2010;29.1;1952-07-15

#min ev;max ev;ad_tan;ad_tand
1901;2010;-23.9;1942-01-24
1901;2010;-22.4;1902-12-13
1901;2010;-22.2;1929-02-10
1901;2010;-21.7;1902-12-15
1901;2010;-21.1;1929-02-11
1901;2010;-21.0;1902-12-14
1901;2010;-20.1;1942-01-23
1901;2010;-20.0;1902-12-16
1901;2010;-19.4;1907-01-22
1901;2010;-19.2;1964-01-13

#min ev;max ev;am_tax;am_taxd
1901;2010;24.9;1992-08
1901;2010;23.7;1952-08
1901;2010;23.4;1995-07
1901;2010;23.2;1936-07
1901;2010;23.1;2006-07
1901;2010;23.1;1994-07
1901;2010;23.1;1932-07
1901;2010;23.0;2007-07
1901;2010;23.0;2002-07
1901;2010;22.9;2003-08

#min ev;max ev;am_tan;am_tand
1901;2010;-10.2;1942-01
1901;2010;-10.0;1964-01
1901;2010;-9.5;1940-01
1901;2010;-8.6;1947-01
1901;2010;-8.4;1956-02
1901;2010;-8.2;1954-01
1901;2010;-8.2;1929-02
1901;2010;-8.1;1985-02
1901;2010;-7.9;1963-01
1901;2010;-7.8;1932-02

#min ev;max ev;ay_tax;ax_taxd
1901;2010;12.0;2007
1901;2010;11.7;2009
1901;2010;11.6;2008
1901;2010;11.5;2000
1901;2010;11.4;1994
1901;2010;11.4;1951
1901;2010;11.3;2002
1901;2010;11.2;1934
1901;2010;10.8;1946
1901;2010;10.8;1937

#min ev;max ev;ay_tan;ay_tand
1901;2010;7.6;1940
1901;2010;8.3;1922
1901;2010;8.4;1908
1901;2010;8.5;1933
1901;2010;8.5;1902
1901;2010;8.6;1912
1901;2010;8.7;1914
1901;2010;8.8;1980
1901;2010;8.8;1942
1901;2010;8.8;1941

#min ev;max ev;ad_txx;ad_txxd
1901;2010;39.2;1946-08-19
1901;2010;39.0;1952-08-16
1901;2010;38.8;1946-08-11
1901;2010;38.7;1946-08-18
1901;2010;38.5;1952-08-15
1901;2010;38.5;1950-07-01
1901;2010;38.3;1928-07-17
1901;2010;38.2;1992-08-30
1901;2010;38.2;1946-08-13
1901;2010;38.2;1905-08-04

#min ev;max ev;ad_tnn;ad_tnnd
1901;2010;-30.2;1942-01-24
1901;2010;-28.2;1942-01-25
1901;2010;-28.0;1902-12-14
1901;2010;-27.1;1907-01-22
1901;2010;-27.0;1902-12-16
1901;2010;-26.2;1902-12-15
1901;2010;-26.0;1947-01-31
1901;2010;-26.0;1947-01-29
1901;2010;-26.0;1929-02-10
1901;2010;-25.9;1929-02-11

#min ev;max ev;ad_rx;ad_rxd
1901;2010;80.3;1970-08-09
1901;2010;70.0;1977-07-08
1901;2010;65.7;1938-07-10
1901;2010;65.3;2006-04-20
1901;2010;64.7;1912-05-17
1901;2010;62.5;1980-07-22
1901;2010;61.6;1933-07-23
1901;2010;59.8;1997-08-09
1901;2010;59.0;1974-08-26
1901;2010;56.8;1976-09-04

#min ev;max ev;am_rsx;am_rsxd
1901;2010;232.3;1970-08
1901;2010;178.0;2004-07
1901;2010;175.9;1974-06
1901;2010;164.5;1970-06
1901;2010;163.1;1943-06
1901;2010;161.6;2006-04
1901;2010;161.0;1985-05
1901;2010;157.0;1975-06
1901;2010;156.1;2010-05
1901;2010;153.3;1949-08

#min ev;max ev;am_rsn;am_rsnd
1901;2010;0.0;1986-09
1901;2010;0.0;1902-11
1901;2010;0.3;1976-02
1901;2010;0.5;1959-02
1901;2010;0.7;1961-09
1901;2010;0.8;1972-12
1901;2010;0.9;1979-09
1901;2010;1.1;1953-03
1901;2010;1.4;1995-10
1901;2010;1.6;1974-03

#min ev;max ev;ay_rsx;ay_rsxd
1901;2010;953.2;1970
1901;2010;874.2;1915
1901;2010;844.8;2010
1901;2010;781.9;1919
1901;2010;775.1;1980
1901;2010;773.9;1912
1901;2010;771.9;1944
1901;2010;765.1;1965
1901;2010;757.2;1940
1901;2010;755.5;1941

#min ev;max ev;ay_rsn;ay_rsnd
1901;2010;321.4;1961
1901;2010;341.4;1934
1901;2010;368.8;1917
1901;2010;378.5;1946
1901;2010;390.5;1992
1901;2010;401.3;1962
1901;2010;403.0;1904
1901;2010;406.9;1973
1901;2010;411.1;1935
1901;2010;413.5;1971

#min ev;max ev;ad_sx;ad_sxd
1901;2010;15.4;1937-06-07
1901;2010;15.4;1933-06-20
1901;2010;15.3;1976-07-02
1901;2010;15.3;1958-06-08
1901;2010;15.2;1979-05-29
1901;2010;15.1;2009-06-14
1901;2010;15.1;2005-06-24
1901;2010;15.1;1957-06-17
1901;2010;15.1;1956-05-31
1901;2010;15.1;1948-06-16

#min ev;max ev;am_ssx;am_ssxd
1901;2010;379.8;1928-07
1901;2010;376.1;1967-07
1901;2010;375.0;1987-07
1901;2010;366.4;1995-07
1901;2010;361.9;1932-07
1901;2010;361.8;1930-06
1901;2010;357.3;2006-07
1901;2010;354.4;1956-07
1901;2010;354.3;1963-07
1901;2010;348.2;1938-07

#min ev;max ev;am_ssn;am_ssnd
1901;2010;2.5;1978-11
1901;2010;14.3;1981-12
1901;2010;15.0;1923-01
1901;2010;15.5;1989-01
1901;2010;16.4;1970-12
1901;2010;17.0;1988-01
1901;2010;17.6;1928-12
1901;2010;18.3;1971-01
1901;2010;18.6;1969-12
